Nome do Estudante,Leituras em andamento,Leituras Concluídas,Total de Leituras,Tempo de Leitura,Questões Respondidas,Questões Aprovadas,Nível,Livros Escutados,Tempo de Escuta
GUILHAN LEVI DA SILVA,45,48,93,13728,333,191,B,5,02h 35m 43s
ANA CAROLINA SOUZA,52,159,211,48018,1081,691,A,6,03h 54m 32s
BRUNO HENRIQUE LIMA,43,26,69,10998,103,79,D,3,01h 57m 28s
CARLOS EDUARDO OLIVEIRA,42,91,133,44317,276,218,B,6,04h 36m 17s
DANIELA FERREIRA SANTOS,14,75,89,35625,397,196,C,5,03h 55m 38s
EDUARDO ALMEIDA,21,31,52,14446,151,104,N,3,01h 30m 35s
FERNANDA MARTINS,23,180,203,78840,910,645,D,1,01h 07m 14s
GABRIELA RODRIGUES,54,94,148,28200,401,336,C,7,07h 35m 53s
HENRIQUE PEREIRA,28,61,89,22814,273,148,B,1,01h 03m 40s
ISABELA COSTA,15,156,171,72696,718,375,C,17,11h 03m 43s
JOAO VICTOR BARBOSA,25,216,241,103248,705,389,A,10,08h 20m 17s
JULIANA RIBEIRO,9,74,83,37962,512,432,C,7,05h 50m 56s
LUCAS MENDES,46,137,183,43292,682,349,D,17,11h 37m 47s
MARCELO GOMES,42,129,171,65661,795,487,N,4,03h 48m 31s
MARIANA NUNES,10,213,223,62196,751,389,B,21,18h 12m 38s
MATHEUS CARDOSO,9,118,127,44486,659,591,C,8,03h 20m 43s
NATALIA TEIXEIRA,51,49,100,22246,284,223,E,2,01h 04m 18s
PAULO CESAR SILVA,32,60,92,23760,180,158,E,4,03h 48m 48s
RAFAELA MOREIRA,16,149,165,76437,555,467,C,16,16h 48m 12s
RICARDO SOARES,14,115,129,54625,427,295,E,8,03h 20m 38s
SABRINA DIAS,25,145,170,41180,549,476,E,9,06h 00m 03s
THIAGO ROCHA,20,165,185,49500,582,453,E,17,09h 21m 08s
VANESSA LOPES,47,141,188,59220,592,337,E,13,08h 14m 59s
VICTOR HUGO MARTINS,39,213,252,99258,1345,726,C,21,23h 06m 23s
WILLIAM SOUZA,33,152,185,60040,579,325,A,0,00s
